(define	ptsPutOnBra						5)		;	patti.sc
(define	ptsTakeOffBra					-5)	;	patti.sc
(define	ptsPluggedInCharger			8)		;	charger.sc
(define	ptsPutCorderInCharger		3)		;	charger.sc
(define	ptsUnpluggedCharger			1)		;	charger.sc
(define	ptsWoreDoily					8)		;	inventry.sc
(define	ptsReadMagazine				5)		;	inventry.sc
(define	ptsOpenedFolderMM				1)		;	inventry.sc
(define	ptsOpenedFolderLL				1)		;	inventry.sc
(define	ptsOpenedFolderCC				1)		;	inventry.sc
(define	ptsTapeIntoCamcorder			4)		;	inventry.sc
(define	ptsStartedCamcorder			4)		;	inventry.sc
(define	ptsOpenedDayTrotter			11)	;	inventry.sc
(define	ptsInsertedDataPak			7)		;	inventry.sc
(define	ptsLookedBra					2)		;	inventry.sc
(define	ptsLookInFolder				4)		;	inventry.sc
(define	ptsGotDocNum					1)		;	inventry.sc
(define	ptsGotKrapCode					1)		;	inventry.sc
(define	ptsDrankWater					1)		;	rm160
(define	ptsSawTitty						1)		;	rm160
(define	ptsTookPot						1)		;	rm160
(define	ptsGotCamcorder				1)		;	rm160
(define	ptsSterilizedHands			1)		;	rm170
(define	ptsGotCharger					8)		;	rm170
(define	ptsGotVideotapes				6)		;	rm170
(define	ptsDegaussedTapes				2)		;	rm170 max 6
(define	ptsGotAeroDorkCard			5)		;	rm180
(define	ptsGotResume					8)		;	rm180
(define	ptsSawChesty					1)		;	rm190
(define	ptsTookDaytrotter				15)	;	rm200
(define	ptsTookLimoBottle				6)		;	rm200
(define	ptsToldLimoDriver				8)		;	rm200
(define	ptsTookGreenCard				12)	;	rm250
(define	ptsGotBoardingPass			4)		;	rm258	max 16
(define	ptsPulledSlots					5)		;	rm260
(define	ptsCigaretteMachineQuarters 5)	;	rm260
(define	ptsGotNYNum						1)		;	rm260
(define	ptsStoleQuarter				5)		;	rm270
(define	ptsEnteredLounge				9)		;	rm270
(define	ptsGotGCNum						1)		;	rm270
(define	ptsGotACNum						1)		;	rm270
(define	ptsCalledNYlimo				3)		;	rm280
(define	ptsCalledMlimo					3)		;	rm280
(define	ptsCalledAClimo				3)		;	rm280
(define	ptsCalledGreenCard			7)		;	rm280
(define	ptsUsedBoardingPass			7)		;	rm290
(define	ptsTookMagazine				8)		;	rm320
(define	ptsSavedPlane					100)	;	rm390
(define	ptsBraman						3)		;	rm430
(define	ptsVibman						3)		;	rm430
(define	ptsGotBrassiere				6)		;	rm435
(define	ptsGotFBINum					1)		;	rm440
(define	ptsFartman						3)		;	rm440
(define	ptsGotDataman					5)		;	rm445
(define	ptsGotInfoRB					13)	;	rm445
(define	ptsGotInfoPC					13)	;	rm445
(define	ptsFiredBraAtBigg				100)	;	rm460
(define	ptsPissed						1)		;	rm500
(define	ptsGotLarryTape				3)		;	rm510
(define	ptsGotHyattTape				12)	;	rm510
(define	ptsGotSuperTape				5)		;	rm510
(define	ptsGotTape						4)		;	rm510
(define	ptsCalledChecker				2)		;	rm510
(define	ptsHollerithLaffer			8)		;	rm520
(define	ptsHollerithHyatt				12)	;	rm520
(define	ptsSeesMichelle				3)		;	rm525
(define	ptsTalkedMMintoIt				5)		;	rm535
(define	ptsGaveMMdaytrotter			5)		;	rm535
(define	ptsGaveMMcards					5)		;	rm535
(define	ptsGaveMMcash					5)		;	rm535
(define	ptsHadSexMM						40)	;	rm535
(define	ptsRecordedMM					20)	;	rm535
(define	ptsDatamanSol					6)		;	rm620
(define	ptsFaxSol						6)		;	rm620
(define	ptsSeeOffice					3)		;	rm620
(define	ptsGetRecord					12)	;	rm640
(define	ptsHeard33						3)		;	rm640
(define	ptsHeard33R						3)		;	rm640
(define	ptsHeard78						3)		;	rm640
(define	ptsHeard78R						3)		;	rm640
(define	ptsDidSession					8)		;	rm660
(define	ptsChampagne					18)	;	rm660
(define	ptsZipperSex					10)	;	rm660
(define	ptsTalkSex						16)	;	rm660
(define	ptsGotTapeRB					40)	;	rm660
(define	ptsChangeGirl					2)		;	rm700
(define	ptsDoorman						2)		;	rm700
(define	ptsPlayedPoker					4)		;	rm710
(define	ptsPaidBouncer					12)	;	rm730
(define	ptsWetTeeShirt					8)		;	rm730
(define	ptsHadSexLL						40)	;	rm750
(define	ptsRecordedLL					20)	;	rm750
(define	ptsLarryMeetsLana				6)		;	rm760
(define	ptsPutOnSkates					3)		;	rm760
(define	ptsTalkedToLana				2)		;	rm760
(define	ptsGotSkatesWithMoney		4)		;	rm790
(define	ptsGotSkatesWithCamcorder	8)		;	rm790
(define	ptsReturnedSkates				3)		;	rm790
(define	ptsGotKey						10)	;	rm840
(define	ptsOpenDesk						4)		;	rm840
(define	ptsLookDesk						5)		;	rm840
(define	ptsGetFolder					5)		;	rm840
(define	ptsUnlockDesk					13)	;	rm840
(define	ptsGotLetterOpener			4)		;	rm840
(define	ptsPickLock						5)		;	rm840
(define	ptsMakeCopies					12)	;	rm840
(define	ptsLookFolder					5)		;	rm840
(define	ptsGotByReceptionist			1)		;	rm840
(define	ptsTakeAShower					7)		;	rm850
(define	ptsWoreHammerpants			1)		;	rm870
(define	ptsGetBlankTape				4)		;	rm890
(define	ptsShatteredGlass				15)	;	rm890
(define	ptsHeard2Live2Screw			8)		;	rm890
(define	ptsActivatedRecorder			4)		;	rm890
(define	ptsGetRecordedTape			7)		;	rm890
(define	ptsTookDoily					5)		;	rm905
(define	ptsUsedDoily					17)	;	rm905
(define	ptsCalledDoc					13)	;	rm905
(define	ptsFinishedSurvey				13)	;	rm905
(define	ptsSawCCtits					2)		;	rm910
(define	ptsHadSexCC						40)	;	rm910
(define	ptsRecordedCC					20)	;	rm920

